  3.309730083014589e-01  7.569713509771064e-01  5.719407820363755e+00  1.089973902048051e+00  3.605038638516420e+00  1.025013878777534e+00  3.175189590048502e+00  1.109325657856815e-01  1.331236953985308e+00  4.154497942706921e+00  1.387178050797677e+00  6.022608154719129e+00  1.396379936922635e-01  1.857197228547728e+00  1.162330081098364e-01  1.526127508492667e+00  2.913026403864890e+00  6.253391320168233e+00
  3.382437575993608e+00  4.323508701186999e+00  2.563821839989328e+00  1.798842226763414e+00  6.156263717077711e+00  3.646525595764245e+00  3.051216078865019e+00  1.336152252707916e+00  5.669590531606607e+00  4.090657971252569e+00  5.404552224485974e+00  1.541927938595939e+00  3.713434974629989e+00  2.297152947623088e+00  5.866110321731977e+00  5.273784176885102e+00  4.876332524557324e+00  1.388113233598984e-01
  3.920703841156585e+00  3.394235240601331e+00  4.036162418637458e+00  2.817987067121800e+00  4.933429537408459e+00  4.716116069452648e+00  4.222269569482151e+00  4.289807590145866e+00  7.280691162695965e-01  3.343135337327539e+00  4.494539856375848e+00  1.929623298373629e+00  3.401239109993541e+00  3.344605374972207e+00  4.013383169473497e+00  1.327724126885621e+00  5.151308509729414e+00  5.539037924538629e+00
  2.266509207397611e+00  7.450790158940592e-01  1.662254952783719e-01  6.065837582873355e+00  1.811346010935516e+00  4.977191711369858e+00  2.463791307384446e+00  2.459470272159774e+00  5.980656776916002e+00  2.149934672342499e+00  2.489627931730695e+00  3.160712280549248e+00  1.894628247935525e-01  4.098947636395144e+00  1.261243480485969e+00  5.513429037120307e+00  3.131256401893562e+00  5.009403178339553e+00
  4.834421376006316e+00  4.056784012855997e+00  6.138315914359220e+00  3.595434346047715e+00  9.473363469838728e-01  4.606374007035605e+00  5.948435192358203e+00  3.076518172322917e+00  4.355863346013764e+00  1.157118132161491e+00  3.391892797611846e+00  1.837062277253178e+00  3.178466660385008e+00  1.012434525200775e+00  3.020934243704059e+00  1.720024163298635e-01  1.585073569395612e+00  1.405947805208631e+00
  9.875252807629149e-01  2.084929481597919e+00  6.121205866315909e+00  4.167679604937335e+00  2.729263953682992e-01  2.929208884389585e+00  1.180566481818499e+00  3.031229825897943e+00  2.931006926230795e+00  2.488153251308125e-01  1.326970206984351e+00  6.273848891895125e+00  2.249838704283549e+00  3.737476965956857e+00  2.223577687369376e+00  2.472579687914730e+00  2.541877835835720e+00  3.207685944952224e+00
  2.291130528246160e+00  2.836314019527691e+00  2.230993800939174e+00  3.995573717400648e+00  5.434580282777769e+00  9.453093638945012e-01  3.151715913275317e+00  5.976489515682188e+00  4.391527262573582e+00  5.447686664304449e+00  1.726536201063545e+00  4.003687772881274e+00  4.541753888572697e+00  7.417722832280876e-01  3.998829968253521e+00  1.614632125934915e+00  5.153618997972189e+00  1.526851512780734e+00
  3.384177997934168e+00  4.325372343664869e+00  5.274677522738071e+00  3.358957120017206e+00  4.084616522548680e+00  5.467876917291093e+00  6.188856607035091e+00  2.633242049594938e-01  2.225511105441161e+00  5.582765194065853e+00  1.064920915740334e+00  1.142716321938574e+00  1.098170614532723e+00  5.138973778202617e+00  1.591211480788906e+00  3.554899881538959e+00  1.016239813794505e+00  4.597361547030267e-01
  3.967584826272026e+00  3.075276834655984e+00  1.856461880847441e-01  4.478179670410682e+00  2.334304391574745e+00  3.303697283954075e+00  4.588924769307646e+00  5.395397330439720e+00  6.149338462756641e+00  1.887549213676394e+00  5.386348165582126e+00  3.443930142498662e+00  1.503807825740188e+00  2.131917283515484e+00  3.856940899139790e+00  3.047573326844979e+00  2.008774854130727e+00  4.254045059789790e+00
  6.170122540048703e+00  8.224390828654669e-01  3.102066632154643e+00  3.530254620016684e+00  4.161461001702039e+00  4.569571847361251e+00  1.646803913567823e-02  2.522217613345753e+00  4.771453357179348e+00  2.040838854745060e-02  5.823226050744074e+00  2.868224950056316e+00  5.281565259239279e+00  2.312879011491770e+00  2.020759186365133e+00  2.882406530809878e-01  4.503995704884070e-02  3.068980933568262e+00
