  3.236688408630339e+00  3.891952407411913e+00  1.216547388161561e+00  3.200430869448398e+00  4.481562986022486e-02  6.558770853488195e-01
  4.844974864667099e-01  3.191443734882155e+00  2.646925733736488e+00  4.607485572662310e+00  4.948295535886706e+00  6.093255933005656e+00
  5.344273459743485e+00  2.950688192873681e+00  3.339848060624705e+00  5.089162808762004e-01  1.445646757821863e+00  8.875893717622061e-01
  1.500818005182973e+00  5.214007900811965e+00  5.167659746535918e+00  2.440770001211420e+00  4.964460345956201e+00  1.121010847658881e+00
  1.754901627861478e+00  2.927052646840754e+00  1.062298151391732e+00  2.594018687361724e+00  1.556029725185914e+00  7.382588581177980e-01
  4.670902353975731e+00  6.203343097869582e+00  1.904556971782049e+00  5.337198738935734e+00  1.289613400778892e+00  1.481619040259244e+00
  2.239190315571543e+00  4.656857040361187e+00  5.970224333946182e-01  6.132010687989083e+00  2.429885324587732e+00  3.663061489099241e+00
  2.123625753948079e+00  5.678312772038016e+00  1.810801972899146e+00  2.359315325130302e+00  1.217156449321877e+00  1.414724964943438e-01
  2.276820435963305e+00  1.607129212331643e+00  1.588049538624228e+00  9.515484421255168e-04  3.134619606988638e+00  3.891415038460978e+00
  3.651353594693430e+00  4.155641811951321e+00  2.117425517128294e+00  1.972386141936542e+00  4.094325256920066e+00  3.402869448834432e+00
  1.574963162608299e+00  3.205604497611322e+00  5.960159666067605e+00  5.398613454179070e+00  4.825606676109026e+00  6.116835587938847e-01
  2.417257270267985e+00  1.546726671014469e-02  3.179891794774415e+00  4.387481757798818e+00  5.341414221182892e-01  4.542920195827597e-01
  1.856041295682530e+00  5.310893379527479e+00  5.746990245526813e+00  3.435526886954052e-01  1.290013978485561e-01  4.124848707107528e+00
  5.970558676537088e+00  1.920451250814080e+00  1.065461689046840e+00  3.785865973887937e+00  4.447228875836599e+00  1.326840568656279e+00
  3.362884058030080e-01  3.486305484797847e+00  2.288076019661660e+00  5.613512917534547e+00  2.802285317309528e+00  2.657847272872730e+00
  5.080789789427592e+00  1.951466370704675e+00  1.804919855453008e+00  5.938442191121263e+00  2.332195441269922e+00  2.357715580414203e+00
  4.710952378112427e+00  2.181928882061048e+00  4.971586664795852e+00  2.067255139066267e+00  2.025103808443594e+00  9.383306480100276e-01
  1.640180181985769e+00  1.316645264120039e-01  2.975297049074530e+00  2.855833055463295e+00  2.489107887644570e+00  1.437694466857480e-01
  4.644449959660260e+00  1.936012402186026e+00  4.766822030163998e+00  4.708752210219036e+00  2.080336805010331e+00  1.209442372642178e+00
  1.545269367077682e-01  2.401247035505805e+00  1.891683060334266e+00  4.448921777381765e-01  1.915044247119640e+00  1.034455115818518e+00
